year,quarter,quarter_months,city1,city2,airport_1,airport_2,origin_airport_name,destination_airport_name,avg_fare_raw,avg_fare_adjusted,year_latest,quarter_latest,quarter_months_latest,fare_latest_raw,fare_latest_adjusted,date_oldest,year_oldest,quarter_oldest,fare_oldest_raw,fare_oldest_adjusted,p_change_avg_fare_oldest_newest_raw,p_change_avg_fare_oldest_newest_adjusted,date_updated
2021,4,October to December,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,242.2775518,288.31,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2022,1,January to March,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,240.9640862,277.11,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2022,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,361.7631942,405.17,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2022,3,July to September,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,308.939191,346.01,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2022,4,October to December,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,336.4860855,376.86,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2023,1,January to March,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,277.795806,305.58,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2023,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,282.0617307,307.45,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2023,3,July to September,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,233.7592888,252.46,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2023,4,October to December,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,282.1554953,304.73,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2024,1,January to March,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,348.1636704,369.05,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2024,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,332.4790559,352.43,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2024,3,July to September,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,258.215727,271.13,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2024,4,October to December,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,347.6659747,365.05,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2025,1,January to March,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,343.7216058,357.47,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2025,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,289.877418,298.57,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2025,3,July to September,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,268.2631867,273.63,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2025,4,October to December,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LAX,Charleston AFB/International,Los Angeles International,327.6577791,334.21,2025,4,October to December,327.6577791,334.21,2015-12-01,2015,4,319.75,450.85,2.5,-25.9,2026-09-01
2015,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,202.09,284.95,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2016,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,190.8392539,267.17,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2016,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,193.6535111,267.24,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2016,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,185.956,256.62,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2016,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,193.3815789,266.87,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2017,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,194.8651306,266.97,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2017,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,222.3066382,302.34,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2017,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,192.3592997,259.69,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2017,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,207.7870235,280.51,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2018,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,196.494602,261.34,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2018,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,221.933727,292.95,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2018,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,196.0042148,258.73,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2018,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,195.5198552,258.09,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2019,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,175.8892308,230.41,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2019,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,206.5989813,268.58,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2019,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,169.7528707,220.68,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2019,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,186.6375934,240.76,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2020,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,160.9591887,207.64,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2020,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,188.3791469,243.01,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2020,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,156.6637363,200.53,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2020,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,176.1964844,225.53,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2021,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,201.8596206,252.32,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2021,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,202.1352623,246.61,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2021,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,156.4577958,189.31,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2021,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,146.6296839,174.49,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2022,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,144.1373551,165.76,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2022,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,190.2078347,213.03,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2022,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,161.9881119,181.43,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2022,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,182.1637941,204.02,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2023,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,172.7082231,189.98,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2023,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,194.6796605,212.2,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2023,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,179.2806296,193.62,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2023,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,211.1238769,228.01,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2024,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,254.0984737,269.34,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2024,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,228.3008971,242,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2024,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,181.8161859,190.91,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2024,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,234.3712835,246.09,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2025,1,January to March,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,220.5959515,229.42,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2025,2,April to June,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,255.4913887,263.16,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2025,3,July to September,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,223.0735569,227.54,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2025,4,October to December,"Charleston, SC","New York City, NY (Metropolitan Area)",CHS,LGA,Charleston AFB/International,La Guardia,227.2221419,231.77,2025,4,October to December,227.2221419,231.77,2015-12-01,2015,4,202.09,284.95,12.4,-18.7,2026-09-01
2021,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,171.2382979,208.91,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2023,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,222.3217742,242.33,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2023,3,July to September,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,187.8375,202.86,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2023,4,October to December,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,199.2330579,215.17,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2024,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,230.939759,244.8,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2024,3,July to September,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,234.7153846,246.45,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2024,4,October to December,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,254.3647619,267.08,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2025,2,April to June,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,262.9608696,270.85,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2025,3,July to September,"Charleston, SC","Los Angeles, CA (Metropolitan Area)",CHS,LGB,Charleston AFB/International,Long Beach Airport,237.1264368,241.87,2025,4,October to December,281.9020311,287.54,2015-12-01,2015,4,379.66,535.32,-25.7,-46.3,2026-09-01
2015,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,183.44,258.65,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2016,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,184.4264444,258.2,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2016,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,196.9376375,271.77,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2016,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,194.9793753,269.07,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2016,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,195.4996975,269.79,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2017,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,213.0486934,291.88,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2017,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,209.9338469,285.51,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2017,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,191.0524362,257.92,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2017,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,197.7485244,266.96,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2018,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,201.1529091,267.53,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2018,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,174.6951494,230.6,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2018,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,151.8377214,200.43,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2018,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,166.8826251,220.29,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2019,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,177.8622977,233,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2019,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,184.7312531,240.15,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2019,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,173.0656863,224.99,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2019,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,164.3301151,211.99,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2020,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,167.2786592,215.79,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2020,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,118.522293,152.89,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2020,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,115.4858736,147.82,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2020,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,123.8972382,158.59,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2021,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,147.3022414,184.13,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2021,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,158.1231061,192.91,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2021,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,151.6397085,183.48,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2021,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,153.9138211,183.16,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2022,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,176.8054,203.33,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2022,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,179.862988,201.45,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2022,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,170.6245526,191.1,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2022,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,180.4163355,202.07,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2023,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,185.4687771,204.02,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2023,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,192.498382,209.82,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2023,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,172.4709765,186.27,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2023,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,179.9378682,194.33,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2024,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,185.6867048,196.83,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2024,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,185.9684185,197.13,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2024,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,197.7173824,207.6,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2024,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,227.1794366,238.54,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2025,1,January to March,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,217.7835121,226.49,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2025,2,April to June,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,205.4322034,211.6,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2025,3,July to September,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,196.5826715,200.51,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2025,4,October to December,"Charleston, SC","Chicago, IL",CHS,MDW,Charleston AFB/International,Chicago Midway International,219.5364728,223.93,2025,4,October to December,219.5364728,223.93,2015-12-01,2015,4,183.44,258.65,19.7,-13.4,2026-09-01
2015,4,October to December,"Charleston, SC","Miami, FL (Metropolitan Area)",CHS,MIA,Charleston AFB/International,Miami International,241.28,340.2,2025,4,October to December,199.5808313,203.57,2015-12-01,2015,4,241.28,340.2,-17.3,-40.2,2026-09-01
2016,1,January to March,"Charleston, SC","Miami, FL (Metropolitan Area)",CHS,MIA,Charleston AFB/International,Miami International,205.3361823,287.47,2025,4,October to December,199.5808313,203.57,2015-12-01,2015,4,241.28,340.2,-17.3,-40.2,2026-09-01
2016,2,April to June,"Charleston, SC","Miami, FL (Metropolitan Area)",CHS,MIA,Charleston AFB/International,Miami International,196.2091516,270.77,2025,4,October to December,199.5808313,203.57,2015-12-01,2015,4,241.28,340.2,-17.3,-40.2,2026-09-01
2016,3,July to September,"Charleston, SC","Miami, FL (Metropolitan Area)",CHS,MIA,Charleston AFB/International,Miami International,182.0096545,251.17,2025,4,October to December,199.5808313,203.57,2015-12-01,2015,4,241.28,340.2,-17.3,-40.2,2026-09-01
