AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL
A58,Cosna River Airport,"Cosna River, AK",30071,"Cosna River, AK"
A59,Ivatuk Airport,"Ivatuk, AK",30072,"Ivatuk, AK"
A5K,Paxson Airport,"Paxson, AK",36775,"Paxson, AK"
A5K,Paxson Airport,"Paxson, HI",36774,"Paxson, HI"
A61,Cape Sarichef AFS,"Cape Sarichef, AK",30074,"Cape Sarichef, AK"
A61,Cape Sarichef Airport,"Cape Sarichef, AK",30074,"Cape Sarichef, AK"
A62,Taylor Mountain,"Taylor Mountain Mine, AK",30075,"Taylor Mountain Mine, AK"
A63,Coal Creek,"Yukon Charley Rivvers, AK",30076,"Yukon Charley Rivvers, AK"
A63,Coal Creek,"Yukon Charley Rivvers, AK",30076,"Yukon Charley Rivvers, AK"
A63,Coal Creek,"Yukon Charley Rivvers, AK",30076,"Yukon Charley Rivvers, AK"
A63,Coal Creek,"Yukon Charley Rivvers, AK",30076,"Yukon Charley Rivvers, AK"
A63,Coal Creek,"Yukon Charley Rivvers, AK",30076,"Yukon Charley Rivvers, AK"
A65,Karluk Portage Airport,"Karluk Portage, AK",30078,"Karluk Portage, AK"
A66,Hope Airport,"Hope, AK",30079,"Hope, AK"
A66,Hope Airport,"Hope, AK",30079,"Hope, AK"
A66,Hope Airport,"Hope, AK",30079,"Hope, AK"
A66,Hope Airport,"Hope, AK",30079,"Hope, AK"
A66,Hope Airport,"Hope, AK",30079,"Hope, AK"
A67,Viekoda Bay Airport,"Viekoda Bay, AK",30080,"Viekoda Bay, AK"
A69,Cathedral Strip,"Cold Bay, AK",30082,"Cold Bay, AK"
A6K,Van Curlers Sandbar,"Fairbanks1, AK",36699,"Fairbanks1, AK"
A70,Village Islands Airport,"Village Islands, AK",30083,"Village Islands, AK"
A71,Bear Cove Farm,"Homer, AK",30009,"Homer, AK"
A72,Chinitna Bay Airport,"Chinitna Bay, AK",30085,"Chinitna Bay, AK"
A73,McKinley National Park,"McKinley Park, AK",30086,"McKinley Park, AK"
A74,Dog Fish Bay,"Nanwalek, AK",32649,"Nanwalek, AK"
A75,Malina Bay Airport,"Malina Bay, AK",30088,"Malina Bay, AK"
A76,Red Fox Bay Airport,"Red Fox Bay, AK",30089,"Red Fox Bay, AK"
A77,Shearwater Airport,"Shearwater, AK",30090,"Shearwater, AK"
A78,Lake,"Cape Simpson, AK",30053,"Cape Simpson, AK"
A79,Cape Simpson No. 1,"Cape Simpson, AK",30053,"Cape Simpson, AK"
A7K,Nakochna Airport,"Nakochna, AK",36702,"Nakochna, AK"
A80,Cape Simpson No. 7,"Cape Simpson, AK",30053,"Cape Simpson, AK"
A81,Cape Simpson #1,"Aglaq, AK",30094,"Aglaq, AK"
A82,Nikiski Private Airstrip,"Nikiski, AK",30095,"Nikiski, AK"
A83,Petrof Point Airport,"Petrof Point, AK",30096,"Petrof Point, AK"
