geoid,location,state_abbreviation,state_spelled_out,population
36740,Orlando-Kissimmee-Sanford,FL,Florida,2721022
37100,Oxnard-Thousand Oaks-Ventura,CA,California,838259
37340,Palm Bay-Melbourne-Titusville,FL,Florida,620533
37980,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,"Pennsylvania, New Jersey, Delaware, Maryland",6241882
38060,Phoenix-Mesa-Chandler,AZ,Arizona,4941206
38300,Pittsburgh,PA,Pennsylvania,2443921
38900,Portland-Vancouver-Hillsboro,OR-WA,"Oregon, Washington",2510529
39300,Providence-Warwick,RI-MA,"Rhode Island, Massachusetts",1673807
39340,Provo-Orem-Lehi,UT,Utah,695895
39580,Raleigh-Cary,NC,North Carolina,1449594
40060,Richmond,VA,Virginia,1327321
40140,Riverside-San Bernardino-Ontario,CA,California,4637725
40380,Rochester,NY,New York,1058875
40900,Sacramento-Roseville-Folsom,CA,California,2406563
41620,Salt Lake City-Murray,UT,Utah,1261337
41700,San Antonio-New Braunfels,TX,Texas,2612802
41740,San Diego-Chula Vista-Carlsbad,CA,California,3282782
41860,San Francisco-Oakland-Fremont,CA,California,4653593
41940,San Jose-Sunnyvale-Santa Clara,CA,California,1969353
42540,Scranton--Wilkes-Barre,PA,Pennsylvania,567887
42660,Seattle-Tacoma-Bellevue,WA,Washington,4021467
44060,Spokane-Spokane Valley,WA,Washington,591793
41180,St. Louis,MO-IL,"Missouri, Illinois",2809414
44700,Stockton-Lodi,CA,California,787416
45060,Syracuse,NY,New York,657128
45300,Tampa-St. Petersburg-Clearwater,FL,Florida,3240469
45780,Toledo,OH,Ohio,602977
46060,Tucson,AZ,Arizona,1049947
46140,Tulsa,OK,Oklahoma,1026209
46520,Urban Honolulu,HI,Hawaii,1003666
47260,Virginia Beach-Chesapeake-Norfolk,VA-NC,"Virginia, North Carolina",1782590
47900,Washington-Arlington-Alexandria,DC-VA-MD-WV,"District of Columbia, Virginia, Maryland, West Virginia",6263796
48620,Wichita,KS,Kansas,648935
49180,Winston-Salem,NC,North Carolina,683637
49340,Worcester,MA,Massachusetts,861664
