location,state_abbreviation,state_spelled_out,region,date,item,value,inflation_adjustment,value_inflation_adjusted,date_updated,max_date,latest_value_raw,latest_value_adjusted,min_date,oldest_value_raw,oldest_value_adjusted,p_change_oldest_newest_raw,p_change_oldest_newest_adjusted,compare_2020_value_raw,compare_2020_value_adjusted,p_change_2020_newest_adjusted,data_complete
Colorado Springs,CO,Colorado,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Columbia,SC,South Carolina,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Columbus,OH,Ohio,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Dallas-Fort Worth-Arlington,TX,Texas,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Dayton-Kettering-Beavercreek,OH,Ohio,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Deltona-Daytona Beach-Ormond Beach,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Denver-Aurora-Centennial,CO,Colorado,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Des Moines-West Des Moines,IA,Iowa,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Detroit-Warren-Dearborn,MI,Michigan,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Durham-Chapel Hill,NC,North Carolina,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
El Paso,TX,Texas,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Fresno,CA,California,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Grand Rapids-Wyoming-Kentwood,MI,Michigan,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Greensboro-High Point,NC,North Carolina,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Greenville-Anderson-Greer,SC,South Carolina,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Harrisburg-Carlisle,PA,Pennsylvania,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
Hartford-West Hartford-East Hartford,CT,Connecticut,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
Houston-Pasadena-The Woodlands,TX,Texas,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Indianapolis-Carmel-Greenwood,IN,Indiana,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Jackson,MS,Mississippi,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Jacksonville,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Kansas City,MO,Missouri,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Kiryas Joel-Poughkeepsie-Newburgh,NY,New York,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
Knoxville,TN,Tennessee,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Lakeland-Winter Haven,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Las Vegas-Henderson-North Las Vegas,NV,Nevada,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Little Rock-North Little Rock-Conway,AR,Arkansas,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Los Angeles-Long Beach-Anaheim,CA,California,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Louisville/Jefferson County,KY,Kentucky,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Madison,WI,Wisconsin,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
McAllen-Edinburg-Mission,TX,Texas,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Memphis,TN,Tennessee,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Miami-Fort Lauderdale-West Palm Beach,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Milwaukee-Waukesha,WI,Wisconsin,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Minneapolis-St. Paul-Bloomington,MN,Minnesota,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Nashville-Davidson--Murfreesboro--Franklin,TN,Tennessee,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
New Haven,CT,Connecticut,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
New Orleans-Metairie,LA,Louisiana,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
New York-Newark-Jersey City,NY,New York,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
North Port-Bradenton-Sarasota,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Ogden,UT,Utah,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Oklahoma City,OK,Oklahoma,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Omaha,NE,Nebraska,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Orlando-Kissimmee-Sanford,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Oxnard-Thousand Oaks-Ventura,CA,California,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Palm Bay-Melbourne-Titusville,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Philadelphia-Camden-Wilmington,PA,Pennsylvania,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
Phoenix-Mesa-Chandler,AZ,Arizona,West,2026-08-05,All Food At Home,339.354,1,339.35,2026-09-24,2026-08-01,339.354,339.35,2016-01-01,249.584,361.9,35.96785050323738,-6.2,263.024,336.67,0.8,True
Pittsburgh,PA,Pennsylvania,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
